,Link,Is_Batter
123,https://www.baseball-reference.com/players/gl.fcgi?id=abreual01&t=b&year=2021,True
124,https://www.baseball-reference.com/players/gl.fcgi?id=allengr01&t=b&year=2021,True
125,https://www.baseball-reference.com/players/gl.fcgi?id=amburtr01&t=b&year=2021,True
126,https://www.baseball-reference.com/players/gl.fcgi?id=andujmi01&t=b&year=2021,True
127,https://www.baseball-reference.com/players/gl.fcgi?id=brantro01&t=b&year=2021,True
128,https://www.baseball-reference.com/players/gl.fcgi?id=brittza01&t=b&year=2021,True
129,https://www.baseball-reference.com/players/gl.fcgi?id=bruceja01&t=b&year=2021,True
130,https://www.baseball-reference.com/players/gl.fcgi?id=cessalu01&t=b&year=2021,True
131,https://www.baseball-reference.com/players/gl.fcgi?id=chapmar01&t=b&year=2021,True
132,https://www.baseball-reference.com/players/gl.fcgi?id=colege01&t=p&year=2021,False
133,https://www.baseball-reference.com/players/gl.fcgi?id=cortene01&t=b&year=2021,True
134,https://www.baseball-reference.com/players/gl.fcgi?id=davisjo05&t=b&year=2021,True
135,https://www.baseball-reference.com/players/gl.fcgi?id=flories01&t=b&year=2021,True
136,https://www.baseball-reference.com/players/gl.fcgi?id=fordmi01&t=b&year=2021,True
137,https://www.baseball-reference.com/players/gl.fcgi?id=frazicl01&t=b&year=2021,True
138,https://www.baseball-reference.com/players/gl.fcgi?id=gallojo01&t=b&year=2021,True
139,https://www.baseball-reference.com/players/gl.fcgi?id=garcide01&t=p&year=2021,False
140,https://www.baseball-reference.com/players/gl.fcgi?id=gardnbr01&t=b&year=2021,True
141,https://www.baseball-reference.com/players/gl.fcgi?id=germado01&t=b&year=2021,True
142,https://www.baseball-reference.com/players/gl.fcgi?id=gillu01&t=p&year=2021,False
143,https://www.baseball-reference.com/players/gl.fcgi?id=gittech01&t=b&year=2021,True
144,https://www.baseball-reference.com/players/gl.fcgi?id=greench03&t=b&year=2021,True
145,https://www.baseball-reference.com/players/gl.fcgi?id=heanean01&t=b&year=2021,True
146,https://www.baseball-reference.com/players/gl.fcgi?id=hicksaa01&t=b&year=2021,True
147,https://www.baseball-reference.com/players/gl.fcgi?id=higasky01&t=b&year=2021,True
148,https://www.baseball-reference.com/players/gl.fcgi?id=holmecl01&t=b&year=2021,True
